, Fwd Packet Length Std, Flow IAT Min, Packet Length Std, ACK Flag Count,Init_Win_bytes_forward, Label
0,0.0,1.0,0.0,0,-1,BENIGN
1,0.0,0.0,0.0,0,-1,BENIGN
2,20.65591117977289,1.0,21.0818510677892,0,257,BENIGN
3,20.65591117977289,1.0,21.0818510677892,0,253,BENIGN
4,20.65591117977289,1.0,21.0818510677892,0,257,BENIGN
5,0.0,3.0,0.0,0,255,BENIGN
6,0.0,2.0,0.0,0,242,BENIGN
7,0.0,2.0,0.0,0,255,BENIGN
8,0.0,2501634.0,0.0,0,-1,BENIGN
10,20.65591117977289,2.0,21.0818510677892,0,258,BENIGN
11,20.65591117977289,0.0,21.0818510677892,0,257,BENIGN
12,20.65591117977289,1.0,21.0818510677892,0,256,BENIGN
13,21.68524844220144,1.0,19.979989989987484,0,527,BENIGN
14,18.780308836651226,1.0,17.90716802475106,0,1444,BENIGN
15,18.411952639521967,1.0,17.049926686059383,0,695,BENIGN
16,0.0,2.0,0.0,0,1444,BENIGN
17,21.92031021678297,1.0,17.8978583448784,0,527,BENIGN
18,16.97056274847714,1.0,13.85640646055102,0,695,BENIGN
19,13.85640646055102,2.0,12.0,0,291,BENIGN
20,0.0,1.0,3.0983866769659336,0,291,BENIGN
21,0.0,3.0,0.0,0,130,BENIGN
22,0.0,1.0,0.0,0,132,BENIGN
23,0.0,2.0,0.0,0,132,BENIGN
24,21.68524844220144,1.0,19.979989989987484,0,318,BENIGN
25,21.92031021678297,1.0,17.8978583448784,0,318,BENIGN
26,0.0,1.0,0.0,0,248,BENIGN
27,0.0,1.0,0.0,0,248,BENIGN
29,0.0,1.0,0.0,0,-1,BENIGN
30,0.0,3.0,0.0,1,8192,BENIGN
31,21.68524844220144,1.0,19.979989989987484,0,1163,BENIGN
32,21.92031021678297,2.0,17.8978583448784,0,1163,BENIGN
33,16.97939928266015,1.0,16.00833116432399,0,252,BENIGN
34,0.0,0.0,3.0983866769659336,0,252,BENIGN
35,21.68524844220144,1.0,19.979989989987484,0,829,BENIGN
36,21.68524844220144,1.0,19.979989989987484,0,1329,BENIGN
37,21.92031021678297,1.0,17.8978583448784,0,1329,BENIGN
38,21.92031021678297,1.0,17.8978583448784,0,829,BENIGN
39,0.0,2.0,0.0,0,739,BENIGN
40,0.0,3.0,0.0,0,739,BENIGN
41,0.0,1.0,0.0,0,2031,BENIGN
42,0.0,3.0,0.0,0,2031,BENIGN
44,0.0,1.0,0.0,0,0,BENIGN
45,14.433756729740644,2.0,13.102162671355696,0,119,BENIGN
47,0.0,3.0,0.0,1,8192,BENIGN
52,0.0,3.0,8.763560920082657,0,-1,BENIGN
53,0.0,2.0,0.0,1,29200,BENIGN
55,0.0,1.0,0.0,0,-1,BENIGN
58,0.0,1.0,0.0,0,-1,BENIGN
59,0.0,3.0,38.34057902536164,0,-1,BENIGN
60,85.34975480434194,1.0,372.7144641281512,1,8192,BENIGN
61,0.0,1.0,15.126451130702266,0,246,BENIGN
62,0.0,3.0,0.0,0,16324,BENIGN
65,139.66603022925798,1.0,925.9110212213803,1,8192,BENIGN
66,3.286335345030997,1.0,3.1052950170405937,1,8192,BENIGN
67,0.0,2.0,30.672463220289305,0,-1,BENIGN
68,0.0,1.0,30.672463220289305,0,-1,BENIGN
69,0.0,1.0,30.672463220289305,0,-1,BENIGN
70,0.0,2.0,8.763560920082657,0,-1,BENIGN
71,129.2852758038692,1.0,329.13795627118617,1,8192,BENIGN
