, Protocol,Fwd Packets/s, Label
0,17,2000000.0,MSSQL
1,17,0.0,MSSQL
2,17,2000000.0,MSSQL
3,17,2000000.0,MSSQL
4,17,2000000.0,MSSQL
5,17,2000000.0,MSSQL
6,17,40816.32653061225,MSSQL
7,17,2000000.0,MSSQL
8,17,2000000.0,MSSQL
9,17,2000000.0,MSSQL
10,17,0.0,MSSQL
11,17,2000000.0,MSSQL
12,17,2000000.0,MSSQL
13,17,2000000.0,MSSQL
14,17,2000000.0,MSSQL
15,17,2000000.0,MSSQL
16,17,2000000.0,MSSQL
17,17,2000000.0,MSSQL
18,17,2000000.0,MSSQL
19,17,2000000.0,MSSQL
20,17,2000000.0,MSSQL
21,17,2000000.0,MSSQL
22,17,2000000.0,MSSQL
23,0,7.83918748607205,MSSQL
24,17,2000000.0,MSSQL
25,17,2000000.0,MSSQL
26,17,2000000.0,MSSQL
27,17,2000000.0,MSSQL
28,17,2000000.0,MSSQL
29,17,2000000.0,MSSQL
30,17,2000000.0,MSSQL
31,17,2000000.0,MSSQL
32,17,0.0,MSSQL
33,17,2000000.0,MSSQL
34,17,2000000.0,MSSQL
35,17,0.0,MSSQL
36,17,2000000.0,MSSQL
37,17,1000000.0,MSSQL
38,17,2000000.0,MSSQL
39,17,2000000.0,MSSQL
40,17,2000000.0,MSSQL
41,17,2000000.0,MSSQL
42,17,41666.66666666666,MSSQL
43,17,2000000.0,MSSQL
44,17,2000000.0,MSSQL
45,17,2000000.0,MSSQL
46,17,1000000.0,MSSQL
47,17,2000000.0,MSSQL
48,17,2000000.0,MSSQL
49,17,1000000.0,MSSQL
50,17,2000000.0,MSSQL
51,17,40816.32653061225,MSSQL
52,17,0.0,MSSQL
53,17,2000000.0,MSSQL
54,17,2000000.0,MSSQL
55,17,2000000.0,MSSQL
56,17,41666.66666666666,MSSQL
57,17,2000000.0,MSSQL
58,17,41666.66666666666,MSSQL
59,17,2000000.0,MSSQL
60,17,2000000.0,MSSQL
61,17,2000000.0,MSSQL
62,17,2000000.0,MSSQL
63,17,2000000.0,MSSQL
64,17,2000000.0,MSSQL
65,17,2000000.0,MSSQL
66,17,2000000.0,MSSQL
67,17,2000000.0,MSSQL
68,17,2000000.0,MSSQL
69,17,2000000.0,MSSQL
70,17,2000000.0,MSSQL
71,17,1000000.0,MSSQL
72,17,40816.32653061225,MSSQL
73,17,2000000.0,MSSQL
74,17,2000000.0,MSSQL
75,17,2000000.0,MSSQL
76,17,2000000.0,MSSQL
77,17,2000000.0,MSSQL
78,17,2000000.0,MSSQL
79,17,2000000.0,MSSQL
80,17,2000000.0,MSSQL
81,17,41666.66666666666,MSSQL
82,17,2000000.0,MSSQL
83,17,2000000.0,MSSQL
84,17,2000000.0,MSSQL
85,17,2000000.0,MSSQL
86,17,2000000.0,MSSQL
87,17,2000000.0,MSSQL
88,17,0.0,MSSQL
89,17,2000000.0,MSSQL
90,17,2000000.0,MSSQL
91,17,2000000.0,MSSQL
92,17,0.0,MSSQL
93,17,2000000.0,MSSQL
94,17,2000000.0,MSSQL
95,17,500000.0,MSSQL
96,17,1000000.0,MSSQL
97,17,43478.260869565216,MSSQL
98,17,1000000.0,MSSQL
99,17,1000000.0,MSSQL
100,17,47619.04761904762,MSSQL
101,17,2000000.0,MSSQL
102,17,1000000.0,MSSQL
103,17,2000000.0,MSSQL
