, Protocol, Fwd Header Length,Fwd Packets/s, Fwd Header Length.1, min_seg_size_forward, Label
0,17,-2,2000000.0,-2,-1,NetBIOS
1,17,-2,41666.66666666666,-2,-1,NetBIOS
2,17,-2,2000000.0,-2,-1,NetBIOS
3,17,-2,2000000.0,-2,-1,NetBIOS
4,17,-2,2000000.0,-2,-1,NetBIOS
5,17,-2,2000000.0,-2,-1,NetBIOS
6,17,-2,2000000.0,-2,-1,NetBIOS
7,17,-2,41666.66666666666,-2,-1,NetBIOS
8,17,-2,2000000.0,-2,-1,NetBIOS
9,17,-2,2000000.0,-2,-1,NetBIOS
10,17,-2,2000000.0,-2,-1,NetBIOS
11,17,-2,2000000.0,-2,-1,NetBIOS
12,17,-2,1000000.0,-2,-1,NetBIOS
13,17,-2,2000000.0,-2,-1,NetBIOS
14,17,-2,2000000.0,-2,-1,NetBIOS
15,17,-2,41666.66666666666,-2,-1,NetBIOS
16,17,-2,2000000.0,-2,-1,NetBIOS
17,17,-2,2000000.0,-2,-1,NetBIOS
18,17,-2,2000000.0,-2,-1,NetBIOS
19,17,-2,2000000.0,-2,-1,NetBIOS
20,17,-2,2000000.0,-2,-1,NetBIOS
21,17,-2,40816.32653061225,-2,-1,NetBIOS
22,17,-2,2000000.0,-2,-1,NetBIOS
23,17,-2,2000000.0,-2,-1,NetBIOS
24,17,-2,2000000.0,-2,-1,NetBIOS
25,17,-2,2000000.0,-2,-1,NetBIOS
26,17,-2,2000000.0,-2,-1,NetBIOS
27,17,-2,2000000.0,-2,-1,NetBIOS
28,17,-2,2000000.0,-2,-1,NetBIOS
29,17,-2,2000000.0,-2,-1,NetBIOS
30,17,-2,2000000.0,-2,-1,NetBIOS
31,17,-2,41666.66666666666,-2,-1,NetBIOS
32,17,-2,2000000.0,-2,-1,NetBIOS
33,17,-2,41666.66666666666,-2,-1,NetBIOS
34,17,-2,2000000.0,-2,-1,NetBIOS
35,17,-2,2000000.0,-2,-1,NetBIOS
36,17,-2,2000000.0,-2,-1,NetBIOS
37,17,-2,2000000.0,-2,-1,NetBIOS
38,17,-2,2000000.0,-2,-1,NetBIOS
39,17,-2,42553.191489361714,-2,-1,NetBIOS
40,17,-2,2000000.0,-2,-1,NetBIOS
41,17,-2,2000000.0,-2,-1,NetBIOS
42,17,-2,2000000.0,-2,-1,NetBIOS
43,17,-2,41666.66666666666,-2,-1,NetBIOS
44,17,-2,2000000.0,-2,-1,NetBIOS
45,17,-2,2000000.0,-2,-1,NetBIOS
46,17,-2,2000000.0,-2,-1,NetBIOS
47,17,-2,2000000.0,-2,-1,NetBIOS
48,17,-2,2000000.0,-2,-1,NetBIOS
49,17,-2,2000000.0,-2,-1,NetBIOS
50,17,-2,2000000.0,-2,-1,NetBIOS
51,17,-2,2000000.0,-2,-1,NetBIOS
52,17,-2,2000000.0,-2,-1,NetBIOS
53,17,-2,2000000.0,-2,-1,NetBIOS
54,17,-2,41666.66666666666,-2,-1,NetBIOS
55,17,-2,0.0,-2,-1,NetBIOS
56,17,-2,2000000.0,-2,-1,NetBIOS
57,17,-2,2000000.0,-2,-1,NetBIOS
58,17,-2,42553.191489361714,-2,-1,NetBIOS
59,17,-2,2000000.0,-2,-1,NetBIOS
60,17,-2,2000000.0,-2,-1,NetBIOS
61,17,-2,40816.32653061225,-2,-1,NetBIOS
62,17,-2,2000000.0,-2,-1,NetBIOS
63,17,-2,43478.260869565216,-2,-1,NetBIOS
64,17,-2,2000000.0,-2,-1,NetBIOS
65,17,-2,2000000.0,-2,-1,NetBIOS
66,17,-2,39215.68627450981,-2,-1,NetBIOS
67,17,-2,2000000.0,-2,-1,NetBIOS
68,17,-2,2000000.0,-2,-1,NetBIOS
69,17,-2,2000000.0,-2,-1,NetBIOS
70,17,-2,2000000.0,-2,-1,NetBIOS
71,17,-2,42553.191489361714,-2,-1,NetBIOS
72,17,-2,2000000.0,-2,-1,NetBIOS
73,17,-2,1000000.0,-2,-1,NetBIOS
74,17,-2,2000000.0,-2,-1,NetBIOS
75,17,-2,2000000.0,-2,-1,NetBIOS
76,17,-2,2000000.0,-2,-1,NetBIOS
77,17,-2,2000000.0,-2,-1,NetBIOS
78,17,-2,2000000.0,-2,-1,NetBIOS
